Symbol,Date,Volume,High,Low,Open,Close
$indu,10/05/05,0,10438.4700,10316.1600,10434.8100,10317.3600
$indu,10/06/05,0,10369.5500,10218.0900,10317.3600,10287.1000
$indu,10/07/05,0,10347.3000,10280.6200,10287.4200,10292.3100
$indu,10/10/05,0,10323.1200,10237.8000,10292.9500,10238.7600
$indu,10/11/05,0,10312.8800,10234.2000,10239.1600,10253.1700
$indu,10/12/05,0,10308.8800,10186.0900,10253.8100,10216.9100
$indu,10/13/05,0,10241.3200,10156.4600,10216.9100,10216.5900
$indu,10/14/05,0,10291.9100,10200.1000,10216.5900,10287.3400
$indu,10/17/05,0,10350.9900,10269.8100,10287.4200,10348.1000
$indu,10/18/05,0,10361.4700,10285.2600,10349.1400,10285.2600
$indu,10/19/05,0,10414.1300,10232.9800,10277.1800,10414.1300
$indu,10/20/05,0,10432.7800,10252.1300,10411.7300,10281.1000
$indu,10/21/05,0,10350.9800,10193.4500,10282.2200,10215.2200
$indu,10/24/05,0,10387.0000,10216.1100,10216.1100,10385.0000
$indu,10/25/05,0,10411.6500,10316.8800,10383.8800,10377.8700
$indu,10/26/05,0,10434.4700,10336.8200,10377.3900,10344.9800
$indu,10/27/05,0,10349.2200,10229.9500,10345.3800,10229.9500
$indu,10/28/05,0,10404.7000,10231.1500,10231.1500,10402.7700
$indu,10/31/05,0,10486.6500,10403.1700,10403.2500,10440.0700
$indu,11/01/05,0,10455.2800,10406.3700,10437.5100,10406.7700
$indu,11/02/05,0,10493.5400,10388.7600,10406.2900,10472.7300
$indu,11/03/05,0,10561.1600,10470.4900,10470.4900,10522.5900
$indu,11/04/05,0,10552.3800,10479.3900,10523.2300,10530.7600
$indu,11/07/05,0,10593.3500,10520.4300,10531.2400,10586.2300
$indu,11/08/05,0,10574.2200,10524.2800,10574.1800,10539.7200
$indu,11/09/05,0,10601.9200,10519.5500,10539.2400,10546.2100
$indu,11/10/05,0,10655.5300,10519.3900,10541.1600,10640.1000
$indu,11/11/05,0,10696.4500,10637.4300,10641.3000,10686.0400
$indu,11/14/05,0,10710.0600,10674.2800,10686.6000,10697.1700
$indu,11/15/05,0,10741.9900,10664.2700,10697.0100,10686.4400
$indu,11/16/05,0,10712.2200,10652.2700,10683.0300,10674.7600
$indu,11/17/05,0,10727.6700,10665.5500,10677.0000,10720.2200
$indu,11/18/05,0,10796.2600,10697.2500,10719.3400,10766.3300
$indu,11/21/05,0,10835.3300,10761.0500,10766.3300,10820.2800
$indu,11/22/05,0,10877.4300,10787.2200,10815.9600,10871.4300
$indu,11/23/05,0,10950.7500,10855.3400,10871.4300,10916.0900
$indu,11/25/05,0,10955.4800,10914.4900,10915.1300,10931.6200
$indu,11/28/05,0,10951.9300,10881.6300,10932.7400,10890.7200
$indu,11/29/05,0,10959.7900,10888.0700,10888.4800,10888.1600
$indu,11/30/05,0,10924.8200,10803.8700,10883.9100,10805.8700
$indu,12/01/05,0,10934.9000,10806.0300,10806.0300,10912.5700
$indu,12/02/05,0,10921.3700,10861.6600,10912.0100,10877.5100
$indu,12/05/05,0,10876.9500,10810.6700,10876.9500,10835.0100
$indu,12/06/05,0,10936.2000,10835.4100,10835.4100,10856.8600
$indu,12/07/05,0,10868.0600,10764.0100,10856.8600,10810.9100
$indu,12/08/05,0,10847.2500,10729.6700,10808.4300,10755.1200
$indu,12/09/05,0,10805.9500,10729.9100,10751.7600,10778.5800
$indu,12/12/05,0,10811.7100,10735.1100,10778.6600,10767.7700
$indu,12/13/05,0,10871.5100,10751.3600,10765.6900,10823.7200
$indu,12/14/05,0,10919.7700,10820.3200,10821.3200,10883.5100
$indu,12/15/05,0,10938.7400,10865.4200,10883.4300,10881.6700
$indu,12/16/05,0,10940.3400,10869.2700,10881.6700,10875.5900
$indu,12/19/05,0,10922.4100,10825.6400,10875.5100,10836.5300
$indu,12/20/05,0,10860.1400,10789.6200,10836.9300,10805.5500
