Symbol,Date,Volume,High,Low,Open,Close
msft,10/05/05,73696770,25.0500,24.6700,25.0400,24.6700
msft,10/06/05,81733088,24.9500,24.5300,24.6600,24.7300
msft,10/07/05,50790232,24.8401,24.5200,24.7700,24.5900
msft,10/10/05,48894154,24.6800,24.3500,24.6700,24.4600
msft,10/11/05,76587629,24.5501,24.2500,24.5100,24.4100
msft,10/12/05,71395413,24.7000,24.2700,24.4900,24.3000
msft,10/13/05,70192826,25.5900,24.2680,24.3100,24.5900
msft,10/14/05,53871744,24.7300,24.4992,24.7100,24.6700
msft,10/17/05,46927609,24.6900,24.4399,24.6800,24.5300
msft,10/18/05,69644667,24.8300,24.4500,24.4900,24.5700
msft,10/19/05,66606685,25.0900,24.5000,24.5600,25.0900
msft,10/20/05,58846047,25.1300,24.7400,25.0500,24.7900
msft,10/21/05,67357520,25.0000,24.5700,24.9100,24.7600
msft,10/24/05,52612074,25.1000,24.6800,24.8900,25.1000
msft,10/25/05,41424480,25.1300,24.8299,24.9500,25.0300
msft,10/26/05,58260037,25.3300,24.9300,24.9700,25.1101
msft,10/27/05,62911218,29.0300,24.8500,25.2200,24.9000
msft,10/28/05,108725034,25.6001,25.1000,25.1000,25.5300
msft,10/31/05,75584705,25.8000,25.5000,25.6100,25.6800
msft,11/01/05,71453107,26.1000,25.6100,25.6100,25.9600
msft,11/02/05,75434181,26.5000,25.9300,25.9300,26.4600
msft,11/03/05,73421538,26.6400,26.2500,26.6000,26.4400
msft,11/04/05,57464055,26.7100,26.4500,26.5300,26.6600
msft,11/07/05,77104789,27.0810,26.7000,26.7200,27.0100
msft,11/08/05,60091660,27.1800,26.7700,26.9350,27.0495
msft,11/09/05,59562087,27.1501,26.9400,26.9800,26.9600
msft,11/10/05,73314795,27.1500,26.6399,26.9400,27.0900
msft,11/11/05,51945506,27.3901,27.1265,27.1500,27.2800
msft,11/14/05,67152149,27.4400,27.2000,27.3600,27.3500
msft,11/15/05,65080991,27.5400,27.2500,27.3300,27.5000
msft,11/16/05,86277229,27.8800,27.4400,27.4800,27.7400
msft,11/17/05,91350610,28.0003,27.7600,27.8500,27.9700
msft,11/18/05,75431251,28.2500,27.9000,28.1200,28.0700
msft,11/21/05,65794319,28.2402,27.5000,28.0700,28.1600
msft,11/22/05,104301488,28.0800,27.8600,28.0600,27.9100
msft,11/23/05,70541224,28.0900,27.7400,27.9200,27.9200
msft,11/25/05,44082441,27.9400,27.4650,27.8000,27.7600
msft,11/28/05,57517136,27.8510,27.5300,27.7900,27.7500
msft,11/29/05,62223831,27.7900,27.6000,27.7900,27.6800
msft,11/30/05,55904637,27.7702,27.6300,27.6800,27.6800
msft,12/01/05,61006074,28.1010,27.7290,27.7300,27.8900
msft,12/02/05,42319525,28.1000,27.7900,27.8200,28.0100
msft,12/05/05,47941195,28.0200,27.7100,27.9300,27.8500
msft,12/06/05,65979916,27.9210,27.6800,27.9000,27.6900
msft,12/07/05,55583202,27.7500,27.5500,27.6700,27.7500
msft,12/08/05,63931525,27.8100,27.6000,27.7100,27.6900
msft,12/09/05,48485553,27.8300,27.6400,27.7100,27.7100
msft,12/12/05,63757618,27.7500,27.3300,27.7000,27.4500
msft,12/13/05,104285480,27.4300,27.0000,27.2900,27.1301
msft,12/14/05,65076160,27.2400,26.8500,27.0000,27.0900
msft,12/15/05,79027500,27.1100,26.8100,27.0800,26.9200
msft,12/16/05,88542444,27.0800,26.8100,26.8800,26.9000
msft,12/19/05,68686959,26.8700,26.6500,26.8200,26.8300
msft,12/20/05,62960511,26.8800,26.6700,26.7600,26.8600
msft,12/21/05,75800889,26.9100,26.7098,26.8700,26.7300
msft,12/22/05,91307155,26.7800,26.4190,26.7100,26.5900
msft,12/23/05,30689138,26.6703,26.4400,26.5200,26.6400
msft,12/27/05,37822294,26.8500,26.4500,26.6800,26.4600
msft,12/28/05,37242245,26.6620,26.3500,26.5100,26.3900
msft,12/29/05,34495958,26.5001,26.2600,26.4100,26.2700
msft,12/30/05,49045192,26.3100,26.1000,26.1500,26.1500
msft,01/03/06,79974418,27.0010,26.1000,26.2500,26.8400
msft,01/04/06,57975661,27.0801,26.7700,26.7700,26.9700
msft,01/05/06,48247610,27.1300,26.9100,26.9600,26.9900
msft,01/06/06,100969092,27.0000,26.4900,26.8900,26.9100
msft,01/09/06,55627836,27.0700,26.7600,26.9300,26.8600
msft,01/10/06,64924946,27.0200,26.5900,26.6500,27.0000
msft,01/11/06,70123544,27.3900,26.9000,27.0100,27.2900
msft,01/12/06,45994725,27.2600,26.9700,27.2500,27.1400
msft,01/13/06,41449046,27.2501,27.0100,27.0300,27.1900
msft,01/17/06,58574807,27.1900,26.9000,26.9000,26.9900
msft,01/18/06,52495587,26.9800,26.7000,26.7400,26.8000
msft,01/19/06,60382450,27.2400,26.8500,26.8700,27.0200
msft,01/20/06,79228490,27.0100,26.2600,27.0100,26.4100
msft,01/23/06,47971611,26.5300,26.3000,26.4100,26.3500
msft,01/24/06,63061743,26.4501,26.2200,26.3400,26.2800
msft,01/25/06,59072711,26.5700,26.2300,26.4100,26.4000
msft,01/26/06,69531321,26.7200,26.3100,26.5600,26.5000
msft,01/27/06,134525193,27.9501,27.1900,27.2300,27.7900
msft,01/30/06,103999604,28.1800,27.7800,27.8200,28.0000
msft,01/31/06,94844406,28.3800,27.8700,27.9100,28.1500
msft,02/01/06,68437410,28.0700,27.7600,27.9600,28.0400
msft,02/02/06,55078684,27.9900,27.5500,27.9700,27.6800
msft,02/03/06,75023515,27.7000,27.3400,27.4800,27.5400
msft,02/06/06,60175657,27.5400,27.0900,27.5100,27.1700
msft,02/07/06,72188789,27.1501,26.8100,26.9500,26.9400
msft,02/08/06,51796468,27.0800,26.7100,27.0100,26.9100
msft,02/09/06,52861644,27.0300,26.6500,26.9600,26.6600
msft,02/10/06,52127000,26.8900,26.5100,26.6200,26.6900
msft,02/13/06,46710435,26.7000,26.3400,26.6300,26.3900
msft,02/14/06,58434046,26.6800,26.3500,26.4100,26.6500
msft,02/15/06,62811407,26.9300,26.5000,26.6000,26.8800
msft,02/16/06,49509025,26.9001,26.5700,26.8500,26.8100
msft,02/17/06,41513193,26.8100,26.5600,26.6700,26.7000
msft,02/21/06,50216190,26.7200,26.3400,26.7200,26.5400
msft,02/22/06,43045961,26.8600,26.4700,26.5300,26.7200
msft,02/23/06,48162886,26.8901,26.5400,26.7300,26.6600
msft,02/24/06,44755831,26.7400,26.5200,26.5900,26.6300
msft,02/27/06,51459788,27.2600,26.6700,26.7500,27.0500
msft,02/28/06,65037794,27.3000,26.8700,26.9500,26.8700
msft,03/01/06,53070445,27.2000,26.9500,26.9800,27.1400
msft,03/02/06,41856388,27.1001,26.9000,27.0200,26.9700
msft,03/03/06,45234151,27.1600,26.7400,26.8100,26.9300
msft,03/06/06,53074268,27.1500,26.8300,26.9200,26.9100
msft,03/07/06,51632001,27.1000,26.8100,26.9000,27.0600
msft,03/08/06,57554578,27.5000,26.9700,26.9900,27.2500
msft,03/09/06,45384011,27.4200,27.0000,27.2700,27.0000
msft,03/10/06,41310878,27.2200,26.8800,27.0600,27.1700
msft,03/13/06,40342996,27.2900,26.9400,27.1800,27.1100
msft,03/14/06,39998399,27.3800,26.9900,27.0400,27.2300
msft,03/15/06,57159425,27.4501,27.0100,27.2000,27.3600
msft,03/16/06,73798629,27.4800,27.2200,27.3400,27.2700
msft,03/17/06,120617680,27.6600,27.2700,27.3500,27.5000
msft,03/20/06,67095079,27.9900,27.6700,27.6950,27.8900
msft,03/21/06,73199528,28.2200,27.6800,27.9600,27.7400
msft,03/22/06,146028255,27.2100,26.9200,27.0700,27.1500
msft,03/23/06,73794286,27.1000,26.6600,27.0800,26.8500
msft,03/24/06,69163099,27.2100,26.6200,26.7100,27.0100
msft,03/27/06,59910619,27.3000,27.0000,27.0100,27.0100
msft,03/28/06,58520542,27.2100,26.8100,27.0100,26.9000
msft,03/29/06,53732283,27.2000,26.9200,26.9500,27.0200
msft,03/30/06,54612426,27.3900,27.0000,27.0300,27.2300
msft,03/31/06,62367591,27.5410,27.2100,27.3000,27.2100
msft,04/03/06,57609983,27.7300,27.4400,27.6700,27.5600
msft,04/04/06,45473353,27.8000,27.4700,27.6000,27.6400
msft,04/05/06,41554663,27.9410,27.6400,27.8800,27.7400
msft,04/06/06,51885792,27.7200,27.3700,27.6600,27.5600
msft,04/07/06,47256778,27.7200,27.2300,27.6100,27.2500
msft,04/10/06,39464171,27.4400,27.2000,27.2300,27.2900
msft,04/11/06,42953483,27.3200,27.0000,27.2900,27.1300
msft,04/12/06,32183970,27.2000,26.9700,27.1000,27.2000
msft,04/13/06,28170249,27.2000,27.0000,27.0800,27.0700
msft,04/17/06,35796327,27.0500,26.7300,27.0300,26.8800
msft,04/18/06,56276047,27.3600,26.8200,26.9000,27.2200
msft,04/19/06,45111328,27.1900,26.9600,27.1100,27.0300
msft,04/20/06,46044666,27.1900,26.9400,27.0500,27.0300
msft,04/21/06,58528503,27.3901,27.0000,27.0500,27.1500
msft,04/24/06,42319297,27.2501,26.9800,27.0700,27.1100
msft,04/25/06,49222438,27.2100,27.0200,27.0900,27.1100
msft,04/26/06,39194018,27.2300,27.0000,27.0800,27.1000
msft,04/27/06,100327309,27.6300,26.9400,26.9700,27.2500
msft,04/28/06,591078581,24.5000,24.0000,24.2300,24.1500
msft,05/01/06,175012523,24.5001,24.0900,24.3200,24.2900
msft,05/02/06,190561170,24.5000,23.9000,24.4900,24.0100
msft,05/03/06,211567582,24.0200,23.1500,23.9900,23.1700
msft,05/04/06,171268148,23.6700,23.1400,23.3500,23.4400
msft,05/05/06,131607958,23.9501,23.5200,23.6600,23.8000
msft,05/08/06,80697460,24.1000,23.5100,23.8600,23.7300
msft,05/09/06,75996747,23.8800,23.4900,23.7500,23.6200
msft,05/10/06,77650902,23.7900,23.5900,23.6700,23.7700
msft,05/11/06,92925377,23.7900,23.1500,23.7100,23.2200
msft,05/12/06,83136212,23.3700,23.0500,23.1400,23.1700
msft,05/15/06,70107733,23.2300,23.0300,23.1000,23.1500
msft,05/16/06,81868733,23.1700,22.9100,23.1600,23.0100
msft,05/17/06,98603006,23.0801,22.7300,22.8900,22.7300
msft,05/18/06,95477212,23.1400,22.7600,22.8400,22.8300
msft,05/19/06,100074121,22.9000,22.5200,22.7900,22.5600
msft,05/22/06,88387280,23.0200,22.4500,22.4800,22.8800
msft,05/23/06,80003157,23.3801,22.7700,23.1050,22.7900
msft,05/24/06,107375496,23.5400,22.9800,22.9900,23.5000
msft,05/25/06,83054373,23.9201,23.5400,23.5700,23.7400
msft,05/26/06,46867137,23.8800,23.5600,23.7700,23.7200
msft,05/30/06,52505325,23.6400,23.1400,23.5500,23.1500
msft,05/31/06,120468133,23.3500,22.6500,23.2600,22.6500
msft,06/01/06,80240005,22.8400,22.6200,22.7400,22.8200
msft,06/02/06,73937588,22.9900,22.6700,22.8700,22.7600
msft,06/05/06,63933933,22.7300,22.4900,22.7200,22.5000
msft,06/06/06,126603948,22.5600,21.9800,22.5500,22.1300
