Symbol,Date,Volume,High,Low,Open,Close
ibm,11/01/05,5657900,81.1734,80.3236,80.8770,80.6201
ibm,11/02/05,6650400,80.9165,79.6814,80.2347,80.0964
ibm,11/03/05,7690900,82.0429,80.3434,80.5805,81.8849
ibm,11/04/05,3831400,82.3097,81.6629,81.9244,82.0133
ibm,11/07/05,4455100,82.8532,82.0825,82.1121,82.6161
ibm,11/08/05,3798000,83.1012,82.3187,82.6159,82.3584
ibm,11/09/05,3936200,82.5366,81.7046,81.9225,82.0513
ibm,11/10/05,4732100,83.4974,81.5164,81.9126,83.1904
ibm,11/11/05,4841300,84.0323,83.3488,83.3984,83.7450
ibm,11/14/05,3915300,84.1907,83.3092,83.4479,83.5568
ibm,11/15/05,6833000,85.0822,83.2300,83.2300,84.7157
ibm,11/16/05,6694100,85.7557,84.5770,84.6365,85.7161
ibm,11/17/05,5293600,86.1519,84.9435,85.3595,86.0628
ibm,11/18/05,7985700,87.1622,86.3401,87.1622,86.9344
ibm,11/21/05,4807900,87.0334,86.1816,86.7660,86.4589
ibm,11/22/05,5786600,87.2414,86.0528,86.0528,87.1523
ibm,11/23/05,5399200,88.5390,87.1127,87.2810,87.9546
ibm,11/25/05,2199300,88.4696,87.7763,88.1031,87.9546
ibm,11/28/05,5197900,88.5786,87.9050,87.9546,88.2616
ibm,11/29/05,5147000,89.0837,88.1725,88.3310,88.2517
ibm,11/30/05,6021500,88.7866,87.8852,88.2022,88.0536
ibm,12/01/05,4668500,88.8856,88.2022,88.3012,88.3607
ibm,12/02/05,4730500,88.3012,87.5188,88.1527,87.8060
ibm,12/05/05,4023600,87.8060,86.8749,87.5584,87.5881
ibm,12/06/05,4871500,88.9847,87.7169,87.7169,88.2913
ibm,12/07/05,5284000,89.0639,87.6079,88.1527,87.8753
ibm,12/08/05,5786900,88.0635,85.8448,87.7268,86.6670
ibm,12/09/05,6464700,86.2708,85.5081,85.9736,86.1420
ibm,12/12/05,6044200,86.5184,84.9435,86.1816,85.1416
ibm,12/13/05,12545300,84.0917,82.7050,83.6955,82.9130
ibm,12/14/05,7161800,83.1507,82.1603,82.8536,82.3385
ibm,12/15/05,6155900,82.8338,81.9622,82.0909,82.7347
ibm,12/16/05,7398200,83.2003,82.2098,83.0913,82.5763
ibm,12/19/05,4984500,82.8041,81.8631,82.4376,81.9721
ibm,12/20/05,5276200,82.3088,81.2787,82.1603,81.6947
ibm,12/21/05,6846800,83.2003,81.6749,81.6749,82.3286
ibm,12/22/05,6573600,82.4376,81.5164,81.8235,82.4277
ibm,12/23/05,3616200,83.3984,82.5961,83.2003,82.6852
ibm,12/27/05,4389600,83.6955,82.1008,82.6852,82.1999
ibm,12/28/05,4104600,82.7744,82.0117,82.3088,82.2494
ibm,12/29/05,3958400,82.2692,81.4372,82.0117,81.6155
ibm,12/30/05,5449000,81.7046,80.7835,81.0707,81.4174
ibm,01/03/06,11715200,81.7641,80.0406,81.6650,81.2787
ibm,01/04/06,9838900,81.7145,80.5557,81.4174,81.1698
ibm,01/05/06,7213500,82.1107,80.4863,80.6250,81.7145
ibm,01/06/06,8197300,84.2205,82.6159,83.1507,84.1412
ibm,01/09/06,6857900,83.4479,82.5862,83.1012,82.9328
ibm,01/10/06,5701000,83.3191,82.3286,82.3584,83.2696
ibm,01/11/06,5776400,84.0026,82.6060,83.5667,83.3686
ibm,01/12/06,4924100,83.1606,82.6060,83.0220,82.7744
ibm,01/13/06,6921700,82.6555,81.7145,82.2098,82.3782
ibm,01/17/06,8759000,82.3683,81.7542,82.0117,82.2098
ibm,01/18/06,11031600,83.8936,82.7248,83.2003,83.6559
ibm,01/19/06,6484000,83.5865,82.2296,83.3389,82.2989
ibm,01/20/06,8614500,82.2593,80.4764,82.2494,80.5854
ibm,01/23/06,6114100,81.1401,80.1496,80.5557,80.6349
ibm,01/24/06,6069000,81.3679,80.0307,80.6151,80.0802
ibm,01/25/06,6374300,80.8429,79.8425,80.2783,80.1397
ibm,01/26/06,7810200,80.8726,79.8227,80.7241,79.9515
ibm,01/27/06,6103400,80.9915,79.9812,79.9812,80.2486
ibm,01/30/06,5325100,81.0311,79.4463,79.4463,80.8528
ibm,01/31/06,6771600,81.2193,80.3972,80.7241,80.5260
